"Step","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MAX"
"0","2.0414414414950572","2.0414414414950572","2.0414414414950572","1.939763587247723","1.939763587247723","1.939763587247723"
"2","1.3942459010694512","1.3942459010694512","1.3942459010694512","1.4096799880311828","1.4096799880311828","1.4096799880311828"
"4","1.1421434867893208","1.1421434867893208","1.1421434867893208","1.1821599173691884","1.1821599173691884","1.1821599173691884"
"6","0.9742167414512605","0.9742167414512605","0.9742167414512605","1.0311080870000364","1.0311080870000364","1.0311080870000364"
"8","0.8508104251135729","0.8508104251135729","0.8508104251135729","0.9216259082645224","0.9216259082645224","0.9216259082645224"
"10","0.7547774246878135","0.7547774246878135","0.7547774246878135","0.8347950009072904","0.8347950009072904","0.8347950009072904"
"12","0.6787191916936024","0.6787191916936024","0.6787191916936024","0.7638863551488879","0.7638863551488879","0.7638863551488879"
"14","0.6166180059610428","0.6166180059610428","0.6166180059610428","0.7069471771008753","0.7069471771008753","0.7069471771008753"
"16","0.5645443445005972","0.5645443445005972","0.5645443445005972","0.6569920119702543","0.6569920119702543","0.6569920119702543"
"18","0.5214936425410223","0.5214936425410223","0.5214936425410223","0.6131223507487938","0.6131223507487938","0.6131223507487938"
"20","0.4832725586971499","0.4832725586971499","0.4832725586971499","0.5713031216428984","0.5713031216428984","0.5713031216428984"
"22","0.4520850952651928","0.4520850952651928","0.4520850952651928","0.5390149625118075","0.5390149625118075","0.5390149625118075"
"24","0.42258172837096003","0.42258172837096003","0.42258172837096003","0.5088432758909638","0.5088432758909638","0.5088432758909638"
"26","0.39867050984552044","0.39867050984552044","0.39867050984552044","0.48189243096943835","0.48189243096943835","0.48189243096943835"
"28","0.37584975148461314","0.37584975148461314","0.37584975148461314","0.4560335725545883","0.4560335725545883","0.4560335725545883"
"30","0.3568655101391294","0.3568655101391294","0.3568655101391294","0.43227369777550195","0.43227369777550195","0.43227369777550195"
"32","0.3383021652926712","0.3383021652926712","0.3383021652926712","0.4102732649167135","0.4102732649167135","0.4102732649167135"
"34","0.3226073476932315","0.3226073476932315","0.3226073476932315","0.3902024382448671","0.3902024382448671","0.3902024382448671"
"36","0.30826882934725486","0.30826882934725486","0.30826882934725486","0.3726358642690397","0.3726358642690397","0.3726358642690397"
"38","0.2944616535264902","0.2944616535264902","0.2944616535264902","0.3574819414780845","0.3574819414780845","0.3574819414780845"
"40","0.2823123149060363","0.2823123149060363","0.2823123149060363","0.34295222453008567","0.34295222453008567","0.34295222453008567"
"42","0.27206609444906665","0.27206609444906665","0.27206609444906665","0.3294323279335524","0.3294323279335524","0.3294323279335524"
"44","0.2616778309777904","0.2616778309777904","0.2616778309777904","0.3160266519551255","0.3160266519551255","0.3160266519551255"
"46","0.25241969573735096","0.25241969573735096","0.25241969573735096","0.3049805400975813","0.3049805400975813","0.3049805400975813"
"48","0.24304534337422018","0.24304534337422018","0.24304534337422018","0.2928821174328031","0.2928821174328031","0.2928821174328031"
