"Step","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER__MIN","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/WER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/WER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/WER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/WER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/WER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/WER__MAX","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/WER","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/WER__MIN","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/WER__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/WER","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/WER__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/WER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MAX","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER__MIN","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/WER","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/WER__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/WER__MAX","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MIN","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/WER","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/WER__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/WER__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/WER","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/WER__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/WER__MAX","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MIN","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MAX","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/WER","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/WER__MIN","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/WER__MAX","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MIN","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/WER","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/WER__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/WER__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/WER","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/WER__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/WER__MAX"
"20","0.07658985071815987","0.07658985071815987","0.07658985071815987","","","","","","","0.10682819787144993","0.10682819787144993","0.10682819787144993","","","","0.18671996988082426","0.18671996988082426","0.18671996988082426","0.06537549749561294","0.06537549749561294","0.06537549749561294","0.07213279482497965","0.07213279482497965","0.07213279482497965","0.05062943617335104","0.05062943617335104","0.05062943617335104","0.06921200656939162","0.06921200656939162","0.06921200656939162","0.08593328866553375","0.08593328866553375","0.08593328866553375","","","","0.13932585460180008","0.13932585460180008","0.13932585460180008","0.11371632223240717","0.11371632223240717","0.11371632223240717","0.30931699327081985","0.30931699327081985","0.30931699327081985","0.10599920841814355","0.10599920841814355","0.10599920841814355","0.2193661172711138","0.2193661172711138","0.2193661172711138","0.22337058872553936","0.20090950395848842","0.2458316734925903"
"22","0.07305232111222623","0.07305232111222623","0.07305232111222623","","","","","","","0.10356698809162879","0.10356698809162879","0.10356698809162879","","","","0.18585552995606738","0.18585552995606738","0.18585552995606738","0.06024909445837288","0.06024909445837288","0.06024909445837288","0.06900750172086677","0.06900750172086677","0.06900750172086677","0.04592482491718549","0.04592482491718549","0.04592482491718549","0.06450313709788451","0.06450313709788451","0.06450313709788451","0.08413386239083998","0.08413386239083998","0.08413386239083998","","","","0.13664523880797164","0.13664523880797164","0.13664523880797164","0.10946098989100563","0.10946098989100563","0.10946098989100563","0.31074562705041897","0.31074562705041897","0.31074562705041897","0.10168388548720998","0.10168388548720998","0.10168388548720998","0.2167074745111388","0.2167074745111388","0.2167074745111388","0.22189781919962917","0.2004737538517448","0.24332188454751355"
"24","0.06744944029862456","0.06744944029862456","0.06744944029862456","","","","","","","0.10055659045843975","0.10055659045843975","0.10055659045843975","","","","0.1855481863393642","0.1855481863393642","0.1855481863393642","0.05750373127869289","0.05750373127869289","0.05750373127869289","0.0646845386663241","0.0646845386663241","0.0646845386663241","0.041615095660265854","0.041615095660265854","0.041615095660265854","0.06148163177674597","0.06148163177674597","0.06148163177674597","0.0792696537180524","0.0792696537180524","0.0792696537180524","","","","0.13440274131071722","0.13440274131071722","0.13440274131071722","0.10672622580429336","0.10672622580429336","0.10672622580429336","","","","0.09754604650579056","0.09754604650579056","0.09754604650579056","0.21134847595962494","0.21134847595962494","0.21134847595962494","0.22005999662369424","0.19913526048997873","0.24098473275740978"
"26","0.06451035407961411","0.06451035407961411","0.06451035407961411","","","","","","","0.0973314229463833","0.0973314229463833","0.0973314229463833","","","","0.18484612041093276","0.18484612041093276","0.18484612041093276","0.05338399178168122","0.05338399178168122","0.05338399178168122","0.06272289336920886","0.06272289336920886","0.06272289336920886","0.038053933111373076","0.038053933111373076","0.038053933111373076","0.05774121415415299","0.05774121415415299","0.05774121415415299","0.0770796929565238","0.0770796929565238","0.0770796929565238","","","","0.13260392338279217","0.13260392338279217","0.13260392338279217","0.10283782455665057","0.10283782455665057","0.10283782455665057","","","","0.0944139867587744","0.0944139867587744","0.0944139867587744","0.21516051343962045","0.21516051343962045","0.21516051343962045","0.2187314989371465","0.19913325583274924","0.23832974204154375"
"28","0.06037151387899088","0.06037151387899088","0.06037151387899088","","","","","","","0.09422590961004038","0.09422590961004038","0.09422590961004038","","","","0.18438659976686758","0.18438659976686758","0.18438659976686758","0.05080188497501865","0.05080188497501865","0.05080188497501865","0.05862214224047563","0.05862214224047563","0.05862214224047563","0.03613399646500178","0.03613399646500178","0.03613399646500178","0.054159446829759456","0.054159446829759456","0.054159446829759456","0.07389781762082707","0.07389781762082707","0.07389781762082707","","","","0.1344043890497721","0.1344043890497721","0.1344043890497721","0.10096228705580104","0.10096228705580104","0.10096228705580104","","","","0.09214727298702938","0.09214727298702938","0.09214727298702938","0.2077980108101694","0.2077980108101694","0.2077980108101694","0.21709509167084384","0.19817235253679943","0.23601783080488828"
"30","0.057606640958784046","0.057606640958784046","0.057606640958784046","","","","","","","0.09228284565321299","0.09228284565321299","0.09228284565321299","","","","0.18425871110673173","0.18425871110673173","0.18425871110673173","0.04838839414934282","0.04838839414934282","0.04838839414934282","0.05573017727377314","0.05573017727377314","0.05573017727377314","0.03255409904076905","0.03255409904076905","0.03255409904076905","0.05267690587620718","0.05267690587620718","0.05267690587620718","0.07172523414442611","0.07172523414442611","0.07172523414442611","","","","0.1314018989307764","0.1314018989307764","0.1314018989307764","0.09795767343093492","0.09795767343093492","0.09795767343093492","","","","0.08898086544177937","0.08898086544177937","0.08898086544177937","0.2090378350789095","0.2090378350789095","0.2090378350789095","0.2153715095745858","0.19656287896533256","0.23418014018383906"
"32","0.05527218512812108","0.05527218512812108","0.05527218512812108","","","","","","","0.08977827364654858","0.08977827364654858","0.08977827364654858","","","","0.18367423650318454","0.18367423650318454","0.18367423650318454","0.046216683162410184","0.046216683162410184","0.046216683162410184","0.05364432566195178","0.05364432566195178","0.05364432566195178","0.030796677639726173","0.030796677639726173","0.030796677639726173","0.04898542627408473","0.04898542627408473","0.04898542627408473","0.06923037601591538","0.06923037601591538","0.06923037601591538","","","","0.13025732718177266","0.13025732718177266","0.13025732718177266","0.0959757746093318","0.0959757746093318","0.0959757746093318","","","","0.08621965817286883","0.08621965817286883","0.08621965817286883","0.20576427044200127","0.20576427044200127","0.20576427044200127","0.21461900381200721","0.19697285725616082","0.23226515036785358"
"34","0.05313495494594852","0.05313495494594852","0.05313495494594852","","","","","","","0.08549890496638915","0.08549890496638915","0.08549890496638915","","","","0.18428478635092493","0.18428478635092493","0.18428478635092493","0.04377844846187436","0.04377844846187436","0.04377844846187436","0.052903742015599366","0.052903742015599366","0.052903742015599366","0.02859434799129181","0.02859434799129181","0.02859434799129181","0.047181112152228144","0.047181112152228144","0.047181112152228144","0.06661693613655119","0.06661693613655119","0.06661693613655119","","","","0.12752698863427364","0.12752698863427364","0.12752698863427364","0.09237652468008349","0.09237652468008349","0.09237652468008349","","","","0.0843917788083216","0.0843917788083216","0.0843917788083216","0.20431106913926128","0.20431106913926128","0.20431106913926128","0.21156070044625697","0.1947877410781088","0.2283336598144051"
"36","0.04994964925499961","0.04994964925499961","0.04994964925499961","","","","","","","0.08576189609528237","0.08576189609528237","0.08576189609528237","","","","0.18284742475113278","0.18284742475113278","0.18284742475113278","0.0419246052085026","0.0419246052085026","0.0419246052085026","0.05141689827210184","0.05141689827210184","0.05141689827210184","0.026212705002237442","0.026212705002237442","0.026212705002237442","0.044756268733835966","0.044756268733835966","0.044756268733835966","0.06457860724812185","0.06457860724812185","0.06457860724812185","","","","0.12867813261909425","0.12867813261909425","0.12867813261909425","0.09131795130225459","0.09131795130225459","0.09131795130225459","","","","0.08161453635134108","0.08161453635134108","0.08161453635134108","0.20182739115355416","0.20182739115355416","0.20182739115355416","0.20978443080714199","0.19374286450268136","0.22582599711160262"
"38","0.049396852477192284","0.049396852477192284","0.049396852477192284","","","","","","","0.08294921206128342","0.08294921206128342","0.08294921206128342","","","","0.1827376942247507","0.1827376942247507","0.1827376942247507","0.04005451204748225","0.04005451204748225","0.04005451204748225","0.04919693869713861","0.04919693869713861","0.04919693869713861","0.025183000220585502","0.025183000220585502","0.025183000220585502","0.04391884679101043","0.04391884679101043","0.04391884679101043","0.06201947782621799","0.06201947782621799","0.06201947782621799","","","","0.1279071205660281","0.1279071205660281","0.1279071205660281","0.08787717418768604","0.08787717418768604","0.08787717418768604","","","","0.07887868306306879","0.07887868306306879","0.07887868306306879","0.20090495143641268","0.20090495143641268","0.20090495143641268","0.20776044547197253","0.19213986668228594","0.2233810242616591"
