"Step","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER__MIN","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/PER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/PER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/PER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/PER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/PER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/PER__MAX","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/PER","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/PER__MIN","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/PER__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/PER","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/PER__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/PER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MAX","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER__MIN","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/PER","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/PER__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/PER__MAX","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MIN","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/PER","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/PER__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/PER__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/PER","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/PER__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/PER__MAX","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MIN","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MAX","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/PER","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/PER__MIN","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/PER__MAX","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MIN","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/PER","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/PER__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/PER__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/PER","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/PER__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/PER__MAX"
"20","0.037743526854148356","0.037743526854148356","0.037743526854148356","","","","","","","0.046265516312274144","0.046265516312274144","0.046265516312274144","","","","0.09312085015752389","0.09312085015752389","0.09312085015752389","0.02969232949983178","0.02969232949983178","0.02969232949983178","0.0339300972823095","0.0339300972823095","0.0339300972823095","0.026030333727173022","0.026030333727173022","0.026030333727173022","0.031341927047299684","0.031341927047299684","0.031341927047299684","0.038901513432333064","0.038901513432333064","0.038901513432333064","","","","0.07017730563383451","0.07017730563383451","0.07017730563383451","0.052908615630054716","0.052908615630054716","0.052908615630054716","0.1274018740785573","0.1274018740785573","0.1274018740785573","0.04972982811197152","0.04972982811197152","0.04972982811197152","0.09452319380953579","0.09452319380953579","0.09452319380953579","0.1259418852852387","0.09269016959632802","0.15919360097414936"
"22","0.0355615561282767","0.0355615561282767","0.0355615561282767","","","","","","","0.04480321866179371","0.04480321866179371","0.04480321866179371","","","","0.09228536540505879","0.09228536540505879","0.09228536540505879","0.02763460134830994","0.02763460134830994","0.02763460134830994","0.03228584058372736","0.03228584058372736","0.03228584058372736","0.023514063193655527","0.023514063193655527","0.023514063193655527","0.029337717715630183","0.029337717715630183","0.029337717715630183","0.03731570372415132","0.03731570372415132","0.03731570372415132","","","","0.06947340029458184","0.06947340029458184","0.06947340029458184","0.05152738015158732","0.05152738015158732","0.05152738015158732","0.12658069310045317","0.12658069310045317","0.12658069310045317","0.048161680967306573","0.048161680967306573","0.048161680967306573","0.09353914385626154","0.09353914385626154","0.09353914385626154","0.12419763194477718","0.0916409533179553","0.15675431057159905"
"24","0.03374024808271896","0.03374024808271896","0.03374024808271896","","","","","","","0.04337405340701647","0.04337405340701647","0.04337405340701647","","","","0.09161022807204888","0.09161022807204888","0.09161022807204888","0.02589040561861816","0.02589040561861816","0.02589040561861816","0.030708547964311515","0.030708547964311515","0.030708547964311515","0.021263306532722858","0.021263306532722858","0.021263306532722858","0.02742220853670321","0.02742220853670321","0.02742220853670321","0.03578209772829862","0.03578209772829862","0.03578209772829862","","","","0.06905281959212697","0.06905281959212697","0.06905281959212697","0.05021121867502066","0.05021121867502066","0.05021121867502066","","","","0.04647798553798264","0.04647798553798264","0.04647798553798264","0.09271595526277274","0.09271595526277274","0.09271595526277274","0.1227034032353824","0.09062912618133771","0.1547776802894271"
"26","0.03198624342995305","0.03198624342995305","0.03198624342995305","","","","","","","0.04210232701950045","0.04210232701950045","0.04210232701950045","","","","0.09098219120868084","0.09098219120868084","0.09098219120868084","0.024156812740038593","0.024156812740038593","0.024156812740038593","0.029242934006443386","0.029242934006443386","0.029242934006443386","0.019253684692734738","0.019253684692734738","0.019253684692734738","0.025879780832157008","0.025879780832157008","0.025879780832157008","0.03429134198086293","0.03429134198086293","0.03429134198086293","","","","0.06853524941864332","0.06853524941864332","0.06853524941864332","0.0489849775266043","0.0489849775266043","0.0489849775266043","","","","0.04510572612968917","0.04510572612968917","0.04510572612968917","0.09197744321028724","0.09197744321028724","0.09197744321028724","0.12142634805476829","0.08981623981139115","0.1530364562981454"
"28","0.030240132684331778","0.030240132684331778","0.030240132684331778","","","","","","","0.0408556501220119","0.0408556501220119","0.0408556501220119","","","","0.09032124574722776","0.09032124574722776","0.09032124574722776","0.02282970504040535","0.02282970504040535","0.02282970504040535","0.02802722037392049","0.02802722037392049","0.02802722037392049","0.01741391462306208","0.01741391462306208","0.01741391462306208","0.02432585109080071","0.02432585109080071","0.02432585109080071","0.0330323824302035","0.0330323824302035","0.0330323824302035","","","","0.068112615079713","0.068112615079713","0.068112615079713","0.04788168608187389","0.04788168608187389","0.04788168608187389","","","","0.04382300275112144","0.04382300275112144","0.04382300275112144","0.0913289197741011","0.0913289197741011","0.0913289197741011","0.11989832933271669","0.08900092397841397","0.1507957346870194"
"30","0.02876296656520824","0.02876296656520824","0.02876296656520824","","","","","","","0.03986062248028528","0.03986062248028528","0.03986062248028528","","","","0.08979324294846482","0.08979324294846482","0.08979324294846482","0.021506115045123897","0.021506115045123897","0.021506115045123897","0.026891814356908923","0.026891814356908923","0.026891814356908923","0.015870238394919117","0.015870238394919117","0.015870238394919117","0.02304172385038481","0.02304172385038481","0.02304172385038481","0.031728097078804085","0.031728097078804085","0.031728097078804085","","","","0.06751097619197757","0.06751097619197757","0.06751097619197757","0.04675243941616086","0.04675243941616086","0.04675243941616086","","","","0.04247098631300405","0.04247098631300405","0.04247098631300405","0.0907981777651102","0.0907981777651102","0.0907981777651102","0.11868624481404616","0.08828842937130278","0.14908406025678952"
"32","0.02750961894498852","0.02750961894498852","0.02750961894498852","","","","","","","0.03870148893434753","0.03870148893434753","0.03870148893434753","","","","0.08931481181946427","0.08931481181946427","0.08931481181946427","0.020361397627319092","0.020361397627319092","0.020361397627319092","0.02579467115830451","0.02579467115830451","0.02579467115830451","0.014423418117999392","0.014423418117999392","0.014423418117999392","0.021706359156258615","0.021706359156258615","0.021706359156258615","0.030845366397111235","0.030845366397111235","0.030845366397111235","","","","0.06729718422112911","0.06729718422112911","0.06729718422112911","0.045774111215392134","0.045774111215392134","0.045774111215392134","","","","0.04145552913957793","0.04145552913957793","0.04145552913957793","0.09042357855499969","0.09042357855499969","0.09042357855499969","0.11722247635345145","0.08771189046630991","0.146733062240593"
"34","0.026302011537858914","0.026302011537858914","0.026302011537858914","","","","","","","0.03774716617165829","0.03774716617165829","0.03774716617165829","","","","0.08877683915623645","0.08877683915623645","0.08877683915623645","0.019327076859611002","0.019327076859611002","0.019327076859611002","0.024763251377947486","0.024763251377947486","0.024763251377947486","0.013200308796565901","0.013200308796565901","0.013200308796565901","0.02079444455823533","0.02079444455823533","0.02079444455823533","0.029621418183298692","0.029621418183298692","0.029621418183298692","","","","0.06684753791537257","0.06684753791537257","0.06684753791537257","0.044749949948987316","0.044749949948987316","0.044749949948987316","","","","0.0402649022660122","0.0402649022660122","0.0402649022660122","0.08998625224078703","0.08998625224078703","0.08998625224078703","0.11571114337968491","0.08719481240083085","0.14422747435853897"
"36","0.025208303288664132","0.025208303288664132","0.025208303288664132","","","","","","","0.0368257206969593","0.0368257206969593","0.0368257206969593","","","","0.08838106534309427","0.08838106534309427","0.08838106534309427","0.018400382977421737","0.018400382977421737","0.018400382977421737","0.02393001781396022","0.02393001781396022","0.02393001781396022","0.01205806991402128","0.01205806991402128","0.01205806991402128","0.01964628338275883","0.01964628338275883","0.01964628338275883","0.028628014796672048","0.028628014796672048","0.028628014796672048","","","","0.06661468024210115","0.06661468024210115","0.06661468024210115","0.04392392821366751","0.04392392821366751","0.04392392821366751","","","","0.039235634801849786","0.039235634801849786","0.039235634801849786","0.08956115953549783","0.08956115953549783","0.08956115953549783","0.11414614670798283","0.08659536398243034","0.14169692943353532"
"38","0.024014292772144723","0.024014292772144723","0.024014292772144723","","","","","","","0.03587770557517061","0.03587770557517061","0.03587770557517061","","","","0.08800602964638032","0.08800602964638032","0.08800602964638032","0.017505147761665743","0.017505147761665743","0.017505147761665743","0.023219347364708456","0.023219347364708456","0.023219347364708456","0.011130594213212542","0.011130594213212542","0.011130594213212542","0.01878669852488745","0.01878669852488745","0.01878669852488745","0.02753249437317478","0.02753249437317478","0.02753249437317478","","","","0.06662483972574919","0.06662483972574919","0.06662483972574919","0.04300978882577056","0.04300978882577056","0.04300978882577056","","","","0.03809824226041791","0.03809824226041791","0.03809824226041791","0.0890377828857039","0.0890377828857039","0.0890377828857039","0.11286031062033627","0.08608505265509753","0.13963556858557502"
