"Step","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss__MIN","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/loss","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/loss__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/loss","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/loss__MAX","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/loss","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/loss__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/loss__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MAX","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/loss","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/loss__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/loss__MAX","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MIN","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/loss","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/loss__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/loss__MAX","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MIN","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MAX","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/loss","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/loss__MIN","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/loss__MAX","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MIN","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/loss","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/loss__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/loss","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/loss__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/loss__MAX"
"20","0.5105758662154445","0.5105758662154445","0.5105758662154445","","","","","","","0.7983953719573583","0.7983953719573583","0.7983953719573583","","","","2.3488572696266643","2.3488572696266643","2.3488572696266643","0.5153554647841461","0.5153554647841461","0.5153554647841461","0.4336862385409897","0.4336862385409897","0.4336862385409897","0.35056462797235016","0.35056462797235016","0.35056462797235016","0.5475517938093241","0.5475517938093241","0.5475517938093241","0.6026800022464799","0.6026800022464799","0.6026800022464799","","","","0.9920180240962626","0.9920180240962626","0.9920180240962626","0.9963887669317207","0.9963887669317207","0.9963887669317207","2.8841415163568844","2.8841415163568844","2.8841415163568844","0.8699929997621597","0.8699929997621597","0.8699929997621597","2.419192759220304","2.419192759220304","2.419192759220304","3.0811129008518146","2.3855253725468106","3.776700429156818"
"22","0.4721570921574033","0.4721570921574033","0.4721570921574033","","","","","","","0.7632102932992062","0.7632102932992062","0.7632102932992062","","","","2.330009490114624","2.330009490114624","2.330009490114624","0.4773079726451389","0.4773079726451389","0.4773079726451389","0.4057095870946122","0.4057095870946122","0.4057095870946122","0.3117263984465672","0.3117263984465672","0.3117263984465672","0.508591073829036","0.508591073829036","0.508591073829036","0.569171554393279","0.569171554393279","0.569171554393279","","","","0.9710443656988568","0.9710443656988568","0.9710443656988568","0.9632851484176028","0.9632851484176028","0.9632851484176028","2.866198109448595","2.866198109448595","2.866198109448595","0.8286587908110976","0.8286587908110976","0.8286587908110976","2.397141822081795","2.397141822081795","2.397141822081795","3.037007750869064","2.358406149592553","3.7156093521455746"
"24","0.43883376832121546","0.43883376832121546","0.43883376832121546","","","","","","","0.731456223139354","0.731456223139354","0.731456223139354","","","","2.3119784583541554","2.3119784583541554","2.3119784583541554","0.4428392584117594","0.4428392584117594","0.4428392584117594","0.3800759184050158","0.3800759184050158","0.3800759184050158","0.27872050987131564","0.27872050987131564","0.27872050987131564","0.4731282873641112","0.4731282873641112","0.4731282873641112","0.5339535438037758","0.5339535438037758","0.5339535438037758","","","","0.9534133546293968","0.9534133546293968","0.9534133546293968","0.9334522369809757","0.9334522369809757","0.9334522369809757","","","","0.7946461491617638","0.7946461491617638","0.7946461491617638","2.3763528750099776","2.3763528750099776","2.3763528750099776","2.9973038725557872","2.33185576452413","3.6627519805874447"
"26","0.4097044876167639","0.4097044876167639","0.4097044876167639","","","","","","","0.701672435445771","0.701672435445771","0.701672435445771","","","","2.294913327894751","2.294913327894751","2.294913327894751","0.41258730189404114","0.41258730189404114","0.41258730189404114","0.3583460074790952","0.3583460074790952","0.3583460074790952","0.2504755620934514","0.2504755620934514","0.2504755620934514","0.4414399352500851","0.4414399352500851","0.4414399352500851","0.5069517176056346","0.5069517176056346","0.5069517176056346","","","","0.9402995306718952","0.9402995306718952","0.9402995306718952","0.9049619526173035","0.9049619526173035","0.9049619526173035","","","","0.7642791648644949","0.7642791648644949","0.7642791648644949","2.3569621281273334","2.3569621281273334","2.3569621281273334","2.960708780883959","2.307958078055798","3.6134594837121203"
"28","0.3831461302673652","0.3831461302673652","0.3831461302673652","","","","","","","0.6735025778253082","0.6735025778253082","0.6735025778253082","","","","2.278831425432407","2.278831425432407","2.278831425432407","0.3844041903296437","0.3844041903296437","0.3844041903296437","0.3393132573772353","0.3393132573772353","0.3393132573772353","0.22574591338862687","0.22574591338862687","0.22574591338862687","0.4130121112371842","0.4130121112371842","0.4130121112371842","0.48392707650274447","0.48392707650274447","0.48392707650274447","","","","0.926514255690173","0.926514255690173","0.926514255690173","0.8777457283065293","0.8777457283065293","0.8777457283065293","","","","0.7355432040065207","0.7355432040065207","0.7355432040065207","2.338558153207963","2.338558153207963","2.338558153207963","2.9245243570282744","2.2839097748489148","3.565138939207634"
"30","0.35996499193253234","0.35996499193253234","0.35996499193253234","","","","","","","0.6478091443433879","0.6478091443433879","0.6478091443433879","","","","2.263903156447739","2.263903156447739","2.263903156447739","0.35941632550671854","0.35941632550671854","0.35941632550671854","0.32238381179149445","0.32238381179149445","0.32238381179149445","0.20398423416257636","0.20398423416257636","0.20398423416257636","0.3866553739694505","0.3866553739694505","0.3866553739694505","0.46166474218116604","0.46166474218116604","0.46166474218116604","","","","0.9148108096162904","0.9148108096162904","0.9148108096162904","0.8536759070013785","0.8536759070013785","0.8536759070013785","","","","0.7084912693564414","0.7084912693564414","0.7084912693564414","2.3208936493940775","2.3208936493940775","2.3208936493940775","2.8904666225895226","2.262628886637607","3.518304358541438"
"32","0.33911656366966403","0.33911656366966403","0.33911656366966403","","","","","","","0.6254866940139081","0.6254866940139081","0.6254866940139081","","","","2.2494968123859507","2.2494968123859507","2.2494968123859507","0.3373165371589602","0.3373165371589602","0.3373165371589602","0.30695572959838197","0.30695572959838197","0.30695572959838197","0.18483588491405317","0.18483588491405317","0.18483588491405317","0.363092590323086","0.363092590323086","0.363092590323086","0.4403616370915636","0.4403616370915636","0.4403616370915636","","","","0.9046316387824954","0.9046316387824954","0.9046316387824954","0.8299120403997383","0.8299120403997383","0.8299120403997383","","","","0.6825133602022212","0.6825133602022212","0.6825133602022212","2.3053391806747063","2.3053391806747063","2.3053391806747063","2.8568666375226686","2.240637121667906","3.4730961533774316"
"34","0.32064108145501674","0.32064108145501674","0.32064108145501674","","","","","","","0.6034729518167458","0.6034729518167458","0.6034729518167458","","","","2.2362238516486257","2.2362238516486257","2.2362238516486257","0.317534342020248","0.317534342020248","0.317534342020248","0.2924137733431724","0.2924137733431724","0.2924137733431724","0.16831347748500283","0.16831347748500283","0.16831347748500283","0.3423156639130338","0.3423156639130338","0.3423156639130338","0.4206246266321238","0.4206246266321238","0.4206246266321238","","","","0.8951864408679979","0.8951864408679979","0.8951864408679979","0.808041241778714","0.808041241778714","0.808041241778714","","","","0.6567984454071357","0.6567984454071357","0.6567984454071357","2.2890450488005807","2.2890450488005807","2.2890450488005807","2.825535562289913","2.221017988589785","3.4300531359900415"
"36","0.30350362673789766","0.30350362673789766","0.30350362673789766","","","","","","","0.583170751745814","0.583170751745814","0.583170751745814","","","","2.223041601056892","2.223041601056892","2.223041601056892","0.29921226891450825","0.29921226891450825","0.29921226891450825","0.28015482239710426","0.28015482239710426","0.28015482239710426","0.15344202851628455","0.15344202851628455","0.15344202851628455","0.32257447487590507","0.32257447487590507","0.32257447487590507","0.4027065715280463","0.4027065715280463","0.4027065715280463","","","","0.8878821610582915","0.8878821610582915","0.8878821610582915","0.7868870501770178","0.7868870501770178","0.7868870501770178","","","","0.632184538847637","0.632184538847637","0.632184538847637","2.272920072717652","2.272920072717652","2.272920072717652","2.7944798038359115","2.201557307385741","3.387402300286082"
"38","0.2876042922413915","0.2876042922413915","0.2876042922413915","","","","","","","0.5638695058468473","0.5638695058468473","0.5638695058468473","","","","2.21055080487206","2.21055080487206","2.21055080487206","0.28334739431168365","0.28334739431168365","0.28334739431168365","0.26963371421805205","0.26963371421805205","0.26963371421805205","0.14118600515777083","0.14118600515777083","0.14118600515777083","0.3052099221264787","0.3052099221264787","0.3052099221264787","0.38527148311663917","0.38527148311663917","0.38527148311663917","","","","0.8818314822581789","0.8818314822581789","0.8818314822581789","0.7667574752435933","0.7667574752435933","0.7667574752435933","","","","0.611242182723961","0.611242182723961","0.611242182723961","2.256585282443311","2.256585282443311","2.256585282443311","2.7631847716580253","2.1830136639965985","3.3433558793194527"
